User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?,Date
0,0,2002,9,1,06:21,134.09,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No,2002-09-01
0,0,2002,9,1,06:42,38.48,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No,2002-09-01
0,0,2002,9,2,06:22,120.34,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No,2002-09-02
0,0,2002,9,2,17:45,128.95,Swipe Transaction,3414527459579106770,Monterey Park,CA,91754.0,5651,,No,2002-09-02
0,0,2002,9,3,06:23,104.71,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No,2002-09-03
0,0,2002,9,3,13:53,86.19,Swipe Transaction,-7146670748125200898,Monterey Park,CA,91755.0,5970,,No,2002-09-03
0,0,2002,9,4,05:51,93.84,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No,2002-09-04
0,0,2002,9,4,06:09,123.5,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No,2002-09-04
0,0,2002,9,5,06:14,61.72,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No,2002-09-05
0,0,2002,9,5,09:35,57.1,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No,2002-09-05
0,0,2002,9,5,20:18,76.07,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No,2002-09-05
0,0,2002,9,5,20:41,53.91,Online Transaction,-9092677072201095172,ONLINE,,,4900,,No,2002-09-05
0,0,2002,9,6,06:16,110.37,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No,2002-09-06
0,0,2002,9,7,06:16,117.05,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No,2002-09-07
0,0,2002,9,7,06:34,45.3,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No,2002-09-07
0,0,2002,9,7,09:39,29.34,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No,2002-09-07
0,0,2002,9,8,06:10,147.45,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No,2002-09-08
0,0,2002,9,8,06:38,27.75,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No,2002-09-08
0,0,2002,9,8,13:48,76.57,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No,2002-09-08
0,0,2002,9,8,22:01,22.56,Swipe Transaction,-6733168469687845480,Mira Loma,CA,91752.0,7832,,No,2002-09-08
0,0,2002,9,9,06:54,37.5,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No,2002-09-09
0,0,2002,9,9,09:40,65.5,Swipe Transaction,-3345936507911876459,La Verne,CA,91750.0,7538,Technical Glitch,No,2002-09-09
0,0,2002,9,9,13:19,56.42,Swipe Transaction,3189517333335617109,La Verne,CA,91750.0,5311,,No,2002-09-09
0,0,2002,9,9,13:31,2.71,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No,2002-09-09
0,0,2002,9,9,20:02,144.9,Online Transaction,-8338381919281017248,ONLINE,,,4899,,No,2002-09-09
0,0,2002,9,10,06:20,160.0,Swipe Transaction,-4282466774399734331,Mira Loma,CA,91752.0,4829,,No,2002-09-10
0,0,2002,9,10,06:22,102.18,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No,2002-09-10
0,0,2002,9,10,06:31,36.73,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No,2002-09-10
0,0,2002,9,10,21:39,29.33,Swipe Transaction,-6733168469687845480,Mira Loma,CA,91752.0,7832,,No,2002-09-10
0,0,2002,9,11,06:28,162.39,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No,2002-09-11
0,0,2002,9,11,06:33,34.4,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No,2002-09-11
0,0,2002,9,11,13:06,62.06,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No,2002-09-11
0,0,2002,9,11,13:17,-99.0,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No,2002-09-11
0,0,2002,9,11,13:23,99.0,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No,2002-09-11
0,0,2002,9,11,19:30,80.18,Swipe Transaction,-1605794445852049456,La Verne,CA,91750.0,5812,,No,2002-09-11
0,0,2002,9,12,06:21,122.1,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,Insufficient Balance,No,2002-09-12
0,0,2002,9,12,06:26,92.76,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No,2002-09-12
