timestamp,muts,symbol,date,method1_inst_buy,method1_inst_sell,method2_inst_buy,method2_inst_sell,method3_inst_buy,method3_inst_sell,method4_inst_buy,method4_inst_sell,method5_inst_buy,method5_inst_sell
2023-01-04 04:00:00.000,1672822800000000,AAPL,2023-01-03,6939721075.16,7328724115.89,6871571092.440001,7396874098.599998,6736687486.59,7531757704.37,421933104.24,13846512086.53,6486070316.5,7782374874.45
2023-01-04 04:00:00.000,1672822800000000,ABNB,2023-01-03,152514446.38,185953164.38,152762779.76,185704831.0,152476812.21,185990798.63,15444764.05,323022846.81,143941051.82,194526558.96
2023-01-04 04:00:00.000,1672822800000000,ADBE,2023-01-03,365916433.81,473370342.56,357869220.31,481417556.28,342927175.67,496359600.88,29117698.27,810169077.99,342537896.15,496748880.25
2023-01-04 04:00:00.000,1672822800000000,ADI,2023-01-03,234732918.4,337448084.77000004,228362599.71,343818403.47,224417090.71,347763912.37,12790612.18,559390390.9,217294856.66,354886146.37
2023-01-04 04:00:00.000,1672822800000000,ADP,2023-01-03,183489870.49,342210096.25,177301982.82999998,348397983.95,178254844.5,347445122.3,10249058.13,515450908.73,175803806.37,349896160.40000004
2023-01-04 04:00:00.000,1672822800000000,ADSK,2023-01-03,107105443.61,139263298.22,122954552.48,123414189.36,137870516.32999998,108498225.53,13338779.33,233029962.32,124645152.0,121723590.04
2023-01-04 04:00:00.000,1672822800000000,AEP,2023-01-03,73550547.44,135398332.4,127718873.8,81230006.02,127566416.9,81382462.96,4087712.03,204861167.8,140387268.46,68561611.51
2023-01-04 04:00:00.000,1672822800000000,ALGN,2023-01-03,92671772.9,165260656.16,125255911.5,132676517.58,139641390.53,118291038.58,7577362.09,250355067.02,140989589.45000002,116942839.79
2023-01-04 04:00:00.000,1672822800000000,AMAT,2023-01-03,251280908.29,360434647.84,239226149.5,372489406.64,237864843.61,373850712.56,29970994.63,581744561.56,212747790.47,398967765.71
2023-01-04 04:00:00.000,1672822800000000,AMD,2023-01-03,1480256281.0,1406006808.7,1532240724.05,1354022365.8,1531598083.97,1354665005.73,194389717.65,2691873371.99,1555291517.89,1330971571.8
2023-01-04 04:00:00.000,1672822800000000,AMGN,2023-01-03,461130878.02,258954556.67,464433551.9,255651882.74,467966063.01,252119371.52,21328128.07,698757306.35,472719123.28,247366311.28
2023-01-04 04:00:00.000,1672822800000000,AMZN,2023-01-03,3129633252.03,3808768627.41,3064039427.73,3874362451.67,3048561274.09,3889840605.39,270241649.16,6668160230.41,2910576938.71,4027824940.81
2023-01-04 04:00:00.000,1672822800000000,ANSS,2023-01-03,70758638.45,57406222.71,59016103.8,69148757.26,60292146.77,67872714.3,3726782.77,124438078.28,60042469.89,68122391.15
2023-01-04 04:00:00.000,1672822800000000,ASML,2023-01-03,166932870.19,216120010.78,166981888.3,216070992.65,167675183.68,215377697.3,15498024.39,367554856.68,168789597.59,214263283.31
2023-01-04 04:00:00.000,1672822800000000,ATVI,2023-01-03,163732958.87,178577205.97,136893779.85,205416384.88,116276155.29,226034009.5,19535722.53,322774442.15,84641721.99,257668442.77
